999233,Anderson,Joe,Married,K2G5B6,6131111111,Ottawa,,,,,,,,,,,,,,,,,,,
999235,Antoni,Ann,Married,X1A 1H7,8670000000,Yellowknife,,,,,,,,,,,,,,,,,,,
999237,Appley,Tom,Married,K2G5B6,6132222222,Ottawa,,,,,,,,,,,,,,,,,,,
999239,Ashby,Sue,Married,T2P 0M9,4030000000,Calgary,,,,,,,,,,,,,,,,,,,
999241,Barr,Eric,Married,M3B 3R5,4160000000,Toronto,,,,,,,,,,,,,,,,,,,
999243,Barrett,Johanna,Married,V8Y 1L1,2500000000,Victoria,,,,,,,,,,,,,,,,,,,
999245,Bennett,Marc,Married,T2P 0M9,4031111111,Calgary,,,,,,,,,,,,,,,,,,,
999247,Boone,Suzanne,Coresident,T2H 0K5,4032222222,Calgary,,,,,,,,,,,,,,,,,,,
999249,Clarke,Jean,Single,H1Y 2H3,5140000000,Montreal,,,,,,,,,,,,,,,,,,,
999251,Clewett,Betty,Single,V8Z 7G4,2501111111,Victoria,,,,,,,,,,,,,,,,,,,
999253,Cluster,Paul,Married,M5G 2L5,4161111111,Toronto,,,,,,,,,,,,,,,,,,,
999255,Coghlin,Annabelle,Married,H1Y 2H8,5141111111,Montreal,,,,,,,,,,,,,,,,,,,
999257,Davis,Christian,Married,M3B 3R5,4162222222,Toronto,,,,,,,,,,,,,,,,,,,
999259,DePalma,Cynthia,Married,H1Y 2H8,5142222222,Montreal,,,,,,,,,,,,,,,,,,,
999261,Deardorff,Xavier,Married,X1A 1H7,8671111111,Yellowknife,,,,,,,,,,,,,,,,,,,
999263,Dodds,Minjie,Married,K2G5B6,6133333333,Ottawa,,,,,,,,,,,,,,,,,,,
999265,Edwards,Cedric,Married,H1Y 2H3,5143333333,Montreal,,,,,,,,,,,,,,,,,,,
999269,Emory,Maxim,Single,X1B 2N6,8672222222,Yellowknife,,,,,,,,,,,,,,,,,,,
999271,Erickson,Isis,Single,K2G5B6,6134444444,Ottawa,,,,,,,,,,,,,,,,,,,
999273,Farrell,Gaetan,Married,T2P 0M9,4033333333,Calgary,,,,,,,,,,,,,,,,,,,
999275,Doe,Sue,Single,M3B 3R5,4162222222,Toronto,,,,,,,,,,,,,,,,,,,
999277,Foley,Bruno,Married,T2P 0M9,4035555555,Calgary,,,,,,,,,,,,,,,,,,,
999279,Ford,Sue,Married,X1A 2N6,8673333333,Yellowknife,,,,,,,,,,,,,,,,,,,
999281,Gage,Marius,Married,M5G 2L5,4163333333,Toronto,,,,,,,,,,,,,,,,,,,
999283,Galt,Susan,Married,M5G 2L5,4164444444,Toronto,,,,,,,,,,,,,,,,,,,
999285,Gray,Dieter,Married,T2P 0M9,4034444444,Calgary,,,,,,,,,,,,,,,,,,,
999287,Guy,Lily,Coresident,M3B 3R5,4165555555,Toronto,,,,,,,,,,,,,,,,,,,
999289,Haines,Francois,Single,M3B 3R5,4166666666,Toronto,,,,,,,,,,,,,,,,,,,
999291,Hale,Michelle,Single,M5G 2L5,4167777777,Toronto,,,,,,,,,,,,,,,,,,,
999293,Hatch,Jacques,Married,X1A 2N6,8674444444,Yellowknife,,,,,,,,,,,,,,,,,,,
999295,Hatton,Andrea,Married,T2P 0M9,4035555555,Calgary,,,,,,,,,,,,,,,,,,,
999297,Ide,Henry,Married,T2P 0M9,4036666666,Calgary,,,,,,,,,,,,,,,,,,,
999299,Ilgen,Estelle,Married,K1N5B6,6135555555,Ottawa,,,,,,,,,,,,,,,,,,,
999301,Infante,Enrique,Married,V8Y 1L1,2502222222,Victoria,,,,,,,,,,,,,,,,,,,
999303,Isbell,Machdel,Married,H1Y 2H8,5144444444,Montreal,,,,,,,,,,,,,,,,,,,
999305,Jackson,James,Married,K2G5B6,6136666666,Ottawa,,,,,,,,,,,,,,,,,,,
999307,Jarrett,Este,Coresident,K2G5B6,6137777777,Ottawa,,,,,,,,,,,,,,,,,,,
999309,Jensen,John,Single,K2G5B6,6138888888,Ottawa,,,,,,,,,,,,,,,,,,,
999311,Johnson,Emma,Single,K2G5B6,6139999999,Ottawa,,,,,,,,,,,,,,,,,,,
999313,Kessler,Karl,Married,K1N5B6,6130000000,Ottawa,,,,,,,,,,,,,,,,,,,
999315,Kitch,Kyana,Married,M3B 3R5,4168888888,Toronto,,,,,,,,,,,,,,,,,,,
999317,Knipe,Carlos,Married,K2G5B6,6130000001,Ottawa,,,,,,,,,,,,,,,,,,,
999319,Knutsen,Charlotte,Married,M3B 3R5,4169999999,Toronto,,,,,,,,,,,,,,,,,,,
999321,Lambert,Adam,Married,M3B 3R5,4160000001,Toronto,,,,,,,,,,,,,,,,,,,
